version,id,code,name,countryid,,start,id,code,name,countryid,end,script
0,21,3000,Wage tax extra earnings,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_21_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""21""></param>","<param name=""code"" value=""3000""></param>","<param name=""name"" value=""Wage tax extra earnings""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_21_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""21""></param><param name=""code"" value=""3000""></param><param name=""name"" value=""Wage tax extra earnings""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,22,3100,Netwage,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_22_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""22""></param>","<param name=""code"" value=""3100""></param>","<param name=""name"" value=""Netwage""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_22_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""22""></param><param name=""code"" value=""3100""></param><param name=""name"" value=""Netwage""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,23,3200,Rounding,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_23_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""23""></param>","<param name=""code"" value=""3200""></param>","<param name=""name"" value=""Rounding""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_23_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""23""></param><param name=""code"" value=""3200""></param><param name=""name"" value=""Rounding""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,24,3300,Gross wages,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_24_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""24""></param>","<param name=""code"" value=""3300""></param>","<param name=""name"" value=""Gross wages""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_24_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""24""></param><param name=""code"" value=""3300""></param><param name=""name"" value=""Gross wages""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,26,3500,Loan,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_26_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""26""></param>","<param name=""code"" value=""3500""></param>","<param name=""name"" value=""Loan""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_26_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""26""></param><param name=""code"" value=""3500""></param><param name=""name"" value=""Loan""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,27,3600,Savings,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_27_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""27""></param>","<param name=""code"" value=""3600""></param>","<param name=""name"" value=""Savings""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_27_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""27""></param><param name=""code"" value=""3600""></param><param name=""name"" value=""Savings""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,28,3700,Wages in kind,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_28_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""28""></param>","<param name=""code"" value=""3700""></param>","<param name=""name"" value=""Wages in kind""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_28_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""28""></param><param name=""code"" value=""3700""></param><param name=""name"" value=""Wages in kind""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,29,3800,Non taxable allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_29_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""29""></param>","<param name=""code"" value=""3800""></param>","<param name=""name"" value=""Non taxable allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_29_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""29""></param><param name=""code"" value=""3800""></param><param name=""name"" value=""Non taxable allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,30,3900,Tax deductible,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_30_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""30""></param>","<param name=""code"" value=""3900""></param>","<param name=""name"" value=""Tax deductible""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_30_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""30""></param><param name=""code"" value=""3900""></param><param name=""name"" value=""Tax deductible""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,31,4000,Non taxable deduction,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_31_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""31""></param>","<param name=""code"" value=""4000""></param>","<param name=""name"" value=""Non taxable deduction""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_31_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""31""></param><param name=""code"" value=""4000""></param><param name=""name"" value=""Non taxable deduction""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
